Lewis | Ferris St
Stonehill | FL Southern
Franciscan OH | Westminster PA
Gardner Webb | UNC Wilmington
G Washington | Manhattan
Harvard | St Marys CA
Hiram | Wash & Jeff
VA Commonwealth | Hofstra
Millsaps | Howard Payne
IL Chicago | WI Parkside
IL Springfield | MacMurray
IL Wesleyan | Webster Univ
Indiana PA | Le Moyne
Indiana St | WKU
James Madison | N Illinois
Kansas St | Lehigh
MIT | Keene St
WV Tech | Keiser
Milwaukee Eng | Knox
Tusculum | Lander
UC Santa Cruz | La Verne
Wheaton IL | Le Tourneau
Lincoln Mem | UVA-Wise
Seton Hill | Lincoln PA
NJIT | LIU Brooklyn
Maryville MO | MO Western
McKendree | Principia
TX Lutheran | McMurry
NC State | Mercer
Metro St | TX A&M Commerce
Murray St | Missouri St
WI Eau Claire | MN Morris
Princeton | Monmouth NJ
NE Omaha | Montana St
Mt St Joseph | Waynesburg
MT St Northern | Oregon Tech
Muskingum | North Park
Texas Tech | N Colorado
NE Wesleyan | Olivet MI
Portland St | NW Nazarene
Randolph Macon | Oglethorpe
Tarleton St | Panhandle St
St Vincent | Pitt-Greensburg
St Cloud | Point Loma
Texas St | Portland
Stevenson | PSU-Berks
Ripon | WI Lutheran
Truman St | Sioux Falls
TX A&M Kville | St Edwards
Virginia Tech | St Francis PA
Tampa | Virginia Union
Westminster MO | Univ Ozarks
UT Dallas | Whitworth
Virginia St | Wheeling Jesuit
Wilmington DE | West Chester
Sewanee | Belhaven MS
Cal Poly | SC Upstate
Colgate | Siena
CS Sacramento | CS Fullerton
San Francisco | Dartmouth
Notre Dame | DePaul
Stony Brook | Rhode Island
Rider | Wagner
Union NY | Lyndon St
Binghamton | Sacred Heart
UC Santa Barbara | Idaho
Providence | Iona
UNC Greensboro | Louisiana Tech
Oakland | Oral Roberts
Santa Clara | San Jose St
E Illinois | Arkansas St
St Louis | Cent Arkansas
UC San Diego | CS Chico
Sonoma St | CS Monterey Bay
High Point | East Carolina
Kentucky St | Fort Valley St
W Carolina | Jacksonville
West Georgia | JC Smith
Lenoir Rhyne | Limestone
Pomona Pitzer | Whitman
William & Mary | St Josephs PA
ETSU | N Dakota St
New Mexico | UTEP
Puget Sound | Whittier
West Virginia | Valparaiso
Abilene Chr | UC Riverside
Campbellsville | Allen
Calvin | Aquinas
Chris Newport | Methodist
Denver | Longwood
Rochester NY | Elmira
Hardin-Simmons | Schreiner
St Martins | Holy Names
Illinois St | Lindenwood
Colorado | Air Force
Miami OH | Army
MT St-Billings | Black Hills St
Chapman | Rhodes
Chowan | Mt Olive
Dallas Bap | NE Oklahoma
WI Stevens Pt | Edgewood
Pacific | Elon
NJ City | Farmingdale
Morehouse | Tuskegee
Pitt-Johnstown | Univ Sciences
Westminster UT | Academy of Art
Belmont | Kennesaw
Carnegie Mellon | Frostburg St
Miles | Clark Atlanta
CSU East Bay | CS San Marcos
Daemen | Slippery Rock
Malone | WV State
Utah Valley | North Dakota
North Texas | St Peters
Staten Island | NYU
Houston | BYU
Seattle | Fairfield
Troy | North Alabama
Savannah St | Alcorn St
San Diego | Jackson St
Nebraska | W Illinois
Bradley | Chicago St
Hartford | W New England
Missouri KC | Avila
UCF | N Kentucky
Loy Marymount | Florida A&M
Penn | R Stockton
Cincinnati Chr | Lawrence Tech
Holy Cross IN | Indiana NW
AZ Western | Southern Idaho
Barton Co | Midland TX
Casper College | Eastern Wyoming
Cent Wyoming | Eastern Utah
Iowa Western CC | Cloud Co
Walters St | Jefferson Davis
Indian River | Col Cent Florida
Colorado NW | Dakota-Bottineau
Daytona St | Polk CC
Frank Phillips | Redlands CC
New Mexico JC | Garden City CC
Gillette | United Tribes
Highland CC IL | State Fair CC
Hutchinson CC | Hesston
Indian Hills CC | Trinidad St JC
Lake Land IL | Ellsworth CC
Lake Region | Northwest WY
Salt Lake CC | Laramie Co
Marshalltown CC | Des Moines CC
NW Florida St | Miami-Dade
Mineral Area | Roane St
SW MO St-WP | SW Tennessee
Moberly Area | Motlow St
Johnson Co | Murray St CC
Navarro | Mtn View
Chand-Gilbert | NM Military
NE OK A&M | Three Rivers
North Platte CC | Pratt CC
Otero JC | Northwest KS Tech
Palm Beach St | USC Salkehatchie
Trinity Valley CC | Pensacola St
Ranger | W Oklahoma St
Santa Fe CC | State Col Fla
Sheridan WY | Williston St
Southeastern CC | Danville CC IL
Triton Col | Lake Co
Vincennes | Fort Scott CC
W Nebraska CC | Rainy River CC
Bay Col | Hibbing CC
Bry & Strat-Milwaukee | Anoka Ramsey
Iowa Lakes CC | MN West C&T
Southwestern CC | Kansas City KS
Kishwaukee CC | Morton
Little Priest | Riverland CC
CC of RI | Nassau CC
Dodge City CC | Grayson Co JC
Carroll MT | Northwest WA
Concordia NE | Peru St
Doane | Waldorf
LeMoyne-Owen | Benedict
Wesley DE | Greensboro
Redlands | Greenville
Lane | Paine
St Rose | LIU Post
Williams | Manhattanville
Marywood | SUNY Potsdam
Merrimack | St Leo
Nova SE | St Augustines
S Arkansas | Union TN
SE Oklahoma | St Marys TX
Cuesta | Alameda
Fullerton Col | Cerritos Col
Columbia CC | West Valley Col
De Anza Col | West Hills
Gavilan | Sierra Col
Hartnell | Merced Col
Los Medanos | Ohlone
Mt San Jacinto | Ventura Col
MO St Louis | C Missouri
Morningside | Bellevue
Benedictine AZ | Life Pacific
Bluefield VA | Brescia
Clarke | Columbia MO
Midland NE | Dakota St
Voorhees | FL Memorial
Indiana Tech | IU Kokomo
Indiana-East | Reinhardt
Marian IN | Judson IL
Virgin Islands | Life
MO Baptist | Lindsey Wilson
Northwestern IA | Trinity Chr
SW Christian | Our Lady Lake
William Penn | Shawnee St
South Plains | Cowley Co
Snow Col | Northeastern JC
Vermilion CC | Gogebic CC
Connors St | SAU Tech
George Fox | Colorado Col
Belmont Abbey | Queens NC
Northland | Lakeland
Marian WI | Benedictine IL
AK Fairbanks | CS Dom. Hills
M Hardin-Baylor | SW Univ TX
Carthage | IL Tech
Ouachita | Midwest TX St
Westfield St | Castleton
Catholic | Sarah Lawrence
Gust Adolphus | Central IA
Albany GA | Central St OH
Centre | Kalamazoo
Cincinnati | Mississippi
John Carroll | Thomas More
Emmanuel GA | Wingate
New Haven | Concordia NY
N Central IL | Alma
Angelo St | Adams St
Hamilton | Transylvania
SW Minnesota | Crown MN
Iowa Wesleyan | Monmouth IL
Regis CO | NW Oklahoma St
St Marys MN | Luther IA
Augustana IL | Rockford
Upper Iowa | Missouri S&T
Montclair St | Rensselaer
Bellarmine | Wayne St MI
WI LaCrosse | Bethel MN
CS San Bern. | Seattle Pacific
Emporia St | Bethel KS
Henderson St | Hannibal-Lagr
KS Wesleyan | Colorado Chr
Mesa St | Fisher
Rockhurst | York NE
Wayne St NE | Mt Marty
W Washington | Langara
Colorado Mines | Haskell
Salem WV | Montevallo
Lewis-Clark ID | Lewis & Clark
St Thomas TX | Concordia TX
Western St CO | Graceland
Texas A&M Intl | Talladega
UC Merced | Dominican CA
Simon Fraser | Capilano
IN Southeast | KY Wesleyan
Quincy | Harris-Stowe
Dordt | Wartburg
Fort Hays St | Sterling
Asbury | Simmons KY
Eastern Oregon | Northwest Indian
Faulkner | Carver Bib
Lincoln Col | Card Stritch
Lourdes | Great Lakes Chr
MT Tech | Salish Kootenai
Providence GF | Portland Bible
Multnomah Bib | Simpson CA
Union KY | Warner
Webber | St Andrews
Rio Grande | R Morris Chi
Oklahoma S&A | Texas Col
John Wood CC | Rend Lake
St Thomas FL | ME Ft Kent
Collin Co | Seminole St
Contra Costa | Butte Col
NC Central | Southern Univ
Nicholls St | W Michigan
Howard | Cal Baptist
MD E Shore | Central Penn
Baylor | George Mason
Ark Pine Bluff | Ark Little Rock
Winthrop | Warren Wilson
IUPUI | Grambling
St Francis NY | Niagara
AK Anchorage | S Dakota Tech
Ald-Broaddus | Fayetteville St
Florida Tech | Concordia SP
Michigan Tech | Gannon
PR Bayamon | Georgian Court
J&W CO | UT Tyler
Davenport | Embry-Riddle FL
Tiffin | Purdue Northwest
Central Bap | Paul Quinn
Rocky Mtn | Dickinson St ND
Rochester MI | Southeastern FL
The Masters | Trinity IL
Angelina | Western Texas
C Washington | Corban
Urbana | Carlow
LA Harbor | Orange Coast
Southwestern CA | Palomar Col
Santiago Canyon | Saddleback
SD City Col | Miramar CC
Huntington | Manchester
Co Col Morris | Allegany MD
Hagerstown CC | Monroe-NR
New Orleans | Governors St
St Francis IL | Eureka
Odessa | Hill Col
LSU-Eunice | SW Chr TX
Suffolk Co-Selden | Gateway CC
Dalton St | Coastal GA
Bellevue CC | Blue Mountain CC
Big Bend CC | Peninsula
Everett CC | Centralia Col
Clackamas CC | Pierce CC
Green River CC | Columbia Basin
Whatcom CC | Linn-Benton CC
Spokane CC | Lower Columbia
Yakima Val CC | Mt Hood CC
North Idaho | W Wyoming CC
Olympic | SW Oregon CC
Skagit Val CC | Tacoma CC
Concordia QC | Bishops
UQAM | Laval
Thompson Riv | UBC-Okanagan
St Fran Xavier | Acadia
Cape Breton | Memorial
New Brunswick | UPEI
Ottawa ON | Brock
York ON | Lakehead
Waterloo | Laurentian
Carleton ON | McMaster
Windsor | Toronto
Laurier | Nipissing
Ryerson | Western ON
Calgary | Manitoba
Mt Royal | Grant MacEwan
Saskatchewan | Brandon
Winnipeg | Univ Lethbridge
Victoria | Trinity Western
Fraser Val | Northern BC
La Cite | Georgian
Loyalist | Centennial Col
Fanshawe | UT-Mississauga
Sheridan ON | Lambton
Durham | Canadore
Niagara ON | Sault
Redeemer | Conestoga
Kings NS | St Thomas NB
N Alberta Tech | Keyano
Grande Prairie | Concordia AB
Briercrest | Ambrose
Augustana AB | Kings AB
Lethbridge Col | Red Deer
Presentation | Wright St-Lake
East-West | St Xavier IL
Delta St | Cumberland TN
Mid-Am Chr | Nebraska Chr
Seneca | St Lawrence ON
Dallas Univ | MS Women
Vanguard | St Katherine
Patrick Henry CC | Bry & Strat-VB
Lees-McRae | PR Mayaguez
Rogers St | PR Rio Piedras
Bowie St | Augusta
Lynn | Ave Maria
Berry | PSU-Altoona
LaGrange | Birmingham So
Bowling Green | Drexel
Randolph Col | Bridgewater VA
Brown | Bryant
Bucknell | Vermont
S Connecticut | Caldwell
Capital | Ohio Wesleyan
Washington StL | Carthage
Utica | Cazenovia
Central Conn | Pine Manor
Columbia | St Josephs NY
St Josephs LI | CT College
Millsaps | Dallas Univ
UNC Wilmington | E Illinois
Lynchburg | E Mennonite
Randolph Macon | Emory
FL Atlantic | FL Gulf Coast
York PA | Frank & Marsh
Furman | UNC Asheville
VA Wesleyan | Guilford
Roanoke | Hampden-Sydney
Hampton | Richmond
Saginaw Val | Hillsdale
SIUE | Incarnate Word
Oral Roberts | James Madison
Johns Hopkins | Marymount VA
Quinnipiac | Maine
Maryville TN | Oglethorpe
Milwaukee Eng | Monmouth IL
Muskingum | Mt St Joseph
Nichols | Trinity CT
North Park | Waynesburg
Wooster | Ohio Northern
Wittenberg | Otterbein
Peace | Wesley DE
S New Hampshire | Post
St Josephs ME | S Maine
Adelphi | Felician
Misericordia | Dickinson
Morgan St | Mt St Marys
PFW | Cleveland St
Duquesne | MA Lowell
Lafayette | F Dickinson
Oregon St | Long Beach St
N Illinois | Oakland
Wichita St | Rice
Arkansas St | Gardner Webb
C Michigan | Siena Hts
Emory & Henry | Shenandoah
Lipscomb | Morehead St
Adrian | Earlham
Albertus Magnus | Mitchell
USC | CS Bakersfield
Seattle | Longwood
MA Dartmouth | Roger Williams
Walsh | Thiel
Fordham | Alabama A&M
Alvernia | Juniata
E Connecticut | Wesleyan CT
Mt Aloysius | McDaniel Col
Rutgers-Newark | Stevens Tech
SF Austin | St Edwards
Babson | Bowdoin
Dominican NY | Bridgeport
Middlebury | Endicott
Illinois | MS Valley St
Pace | Mercy
Southeastern FL | Reinhardt
Towson | Loyola MD
Liberty | Savannah St
Fairfield | Denver
Wm Carey | Southern Miss
Samford | S Carolina St
Indiana-East | Warner
Bay Col | Vermilion CC
Hibbing CC | Gogebic CC
Nassau CC | Gateway CC
Bellevue | Midland NE
Swarthmore | Arcadia
Williams | Yeshiva
Morningside | Dakota St
Wiley | Philander Smith
Charleston WV | Edinboro
SC Aiken | Eliz. City St
IL Tech | Carroll WI
Drew | Centenary NJ
Ferrum | Averett
UT Dallas | Trinity TX
Auburn Mgomery | Spring Hill
Assumption | NYIT
Bates | Salem MA
Bentley | T Jefferson
MN Morris | Valley City St
SUNY-Delhi | SUNY-Cobleskill
Piedmont Bap | Webber
Bluefield VA | R Morris Chi
Rio Grande | Keiser
Card Stritch | Eureka
Union KY | Brescia
Lincoln Col | St Francis IL
Suffolk Co-Selden | CC of RI
UAB | Canisius
Villanova | Florida St
Northwestern | Utah
Fresno St | Hawaii
Oklahoma St | LSU
Col Charleston | Memphis
Grand Canyon | La Salle
Seton Hall | Miami FL
Shippensburg | California PA
Hamilton | Carnegie Mellon
Castleton | Lyndon St
Chris Newport | John Carroll
Thomas More | Methodist
Rensselaer | Elmira
Transylvania | Frostburg St
Rochester NY | Montclair St
Union NY | Westfield St
WV Tech | Rochester MI
Santiago Canyon | LA Harbor
Saddleback | Orange Coast
Miramar CC | Palomar Col
Southwestern CA | SD City Col
UC Santa Cruz | Colby
La Verne | Dominican IL
Monroe-NR | Allegany MD
Hagerstown CC | Co Col Morris
Bellevue CC | Green River CC
Centralia Col | Yakima Val CC
Clackamas CC | Whatcom CC
Spokane CC | Everett CC
Skagit Val CC | Highline CC
Linn-Benton CC | Pierce CC
Lower Columbia | Olympic
Tacoma CC | Peninsula
Canadore | Fleming
Niagara ON | Sault
NB-St John | Kings NS
MS Vincent NS | Mt Allison
Crandall | St Thomas NB
Apprentice | Warren Wilson
Grinnell | Wright St-Lake
Ed Montpetit | John Abbott
Georgetown KY | OH Chillicothe
Vanier | Outaouais
MS Women | Howard Payne
RI College | St Joseph CT
Mia-Middletown | OH Zanesville
Alabama | Murray St
AL Huntsville | Trevecca Naz
Appalachian St | W Salem St
Bates | U New England
Bethune-Cookman | Stetson
DeSales | Catholic
Chr Brothers | Harding
Daemen | Lake Erie
Delaware Val | Haverford
Eastern Univ | Rutgers-Camden
Findlay | Northwood MI
Franciscan OH | Geneva
Radford | Glenville St
Gonzaga | N Dakota St
UT San Antonio | Houston Bap
Iowa St | NE Omaha
Westminster PA | Kenyon
Lehman | Keystone
Lycoming | Penn Col Tech
Wash & Lee | Mary Washington
MO Western | Wm Jewell
Wabash | Rose-Hulman
Salisbury | Washington MD
UTRGV | TAM C. Christi
Fort Valley St | Central St OH
TCU | E Michigan
Wofford | South Carolina
Boston College | Minnesota
California | Santa Clara
Delaware | Louisiana Tech
Pepperdine | Idaho St
Husson | Lasell
Regis MA | Newbury
Dean | W New England
Mt St Mary NY | Hunter
M Hardin-Baylor | Schreiner
TX Southern | Oregon
King TN | Lee TN
Miles | Morehouse
Wm Paterson | Baruch
Tuskegee | Clark Atlanta
E Stroudsburg | Queens NY
SE Louisiana | Louisiana Col
Mississippi St | Alcorn St
Nebraska | Clemson
Martin Meth | Cumberland TN
LSU-Alexandria | Xavier LA
Brunswick CC | Johnston CC
Copiah-Lincoln | MS Delta
East Central CC | Delgado CC
Santa Fe CC | Indian River
Motlow St | Lawson St
Sheridan WY | Little Big Horn
Marshalltown CC | Iowa Cent
SW Illinois | Mineral Area
SW MO St-WP | NW Mississippi
W Oklahoma St | Redlands CC
St Petersburg | Pasco-Hernando
CCBC Catonsville | Chesapeake
Col Ozarks | John Brown
Lane | Benedict
Vassar | FDU Madison
LeMoyne-Owen | Paine
Bethany KS | Ottawa KS
Bluefield VA | Virgin Islands
Mid Georgia | Coastal GA
OK Wesleyan | Friends
William Penn | Grand View
McPherson | KS Wesleyan
LSU Shreveport | Southern N.O.
Southwestern KS | York NE
Catawba | Bluefield WV
Albany GA | Kentucky St
Col Springs | Colorado Col
St Scholastica | Concordia Mhd
PSU-Harrisburg | Immaculata
W Connecticut | Elms
McMurry | SW Univ TX
St Marys TX | Our Lady Lake
Viterbo | Luther MN
St Elizabeth | Kings NY
Washington Advt | PSU-Schuylkill
J&W NC | Webber
Mt Mercy | Culver-Stockton
Sacramento City | Solano CC
West Alabama | Oakwood
St Andrews | Fisk
SUNY Canton | St Joseph VT
Cin Clermont | Hocking
St Katherine | San Diego Chr
Bethel KS | Tabor
Andrew Col | FL Gateway
Geneseo St | Alfred
Arkansas-FS | Cameron
WI Lutheran | Aurora
Baker KS | Evangel
Mt Union | Baldwin-Wallace
Ball St | Tiffin
Shaw NC | Barton
Becker | Springfield
Bethany Luth | WI Stout
Drake | Boise St
California PA | Davis & Elkins
Millsaps | Centenary
Davidson | Charlotte
Shippensburg | Chestnut Hill
Virginia Union | Cheyney St
Citadel | High Point
CT College | Clark MA
S Illinois | Colorado St
Connecticut | MA Lowell
Northwest Chr | Corban
Washington St | CS Northridge
Penn | Delaware St
Fitchburg St | Elms
Washington | E Washington
Wheaton MA | Framingham St
Hartwick | SUNY Oneonta
Hendrix | Univ Ozarks
St John Fisher | Hobart & Smith
Notre Dame | Illinois
Ohio | Iona
Iowa | Pittsburgh
LaGrange | Piedmont
SMU | Lamar
Lincoln PA | Univ Sciences
Russell Sage | MA Liberal Arts
Trine | Manchester
Mars Hill | S Wesleyan
Moorhead St | Mayville St
Middlebury | Morrisville St
Wilmington DE | Millersville
Milwaukee Eng | Rockford
SE Missouri St | Missouri S&T
N Kentucky | Morehead St
Oswego St | Nazareth
Wisconsin | NC State
Stony Brook | Norfolk St
WI River Falls | Northwestern MN
Rosemont | NYU
S Indiana | Oakland City
S Vermont | Pine Manor
Plattsburgh St | St Lawrence
Roanoke | S Virginia
Sarah Lawrence | St Josephs LI
Yeshiva | St Josephs NY
W New Mexico | Texas A&M Intl
Molloy | Concordia NY
N Central IL | Finlandia
Tulsa | UT Arlington
Baylor | South Dakota
Marquette | Charleston So
Providence | F Dickinson
Sacred Heart | Hartford
Louisville | Michigan St
Nevada | Loyola-Chicago
St Johns | MD E Shore
Penn St | Virginia Tech
American Univ | VMI
Duke | Indiana
UNC Wilmington | East Carolina
Temple | Missouri
Wake Forest | W Carolina
ETSU | Ga Southern
Pac Lutheran | Puget Sound
Worcester Tech | Tufts
Abilene Chr | Howard Payne
Wright St | Cedarville
Florida Tech | Flagler
Florida | North Florida
Cincinnati | Ark Pine Bluff
Coast Guard | Fisher
Montana St | North Dakota
ULM | Northwestern LA
Albertus Magnus | City Col NY
Malone | Clarion
Georgia | Kennesaw
Oklahoma | North Texas
Vanderbilt | Savannah St
San Diego St | Jackson St
St Francis PA | Bloomsburg
Elon | Central Penn
Chattanooga | Hiwassee
Mercer | Brewton-Parker
UNC Greensboro | Greensboro
Weber St | Benedictine AZ
Spring Arbor | Grace IN
Peru St | Graceland
Wallace CC-Selma | Albany Tech
NE MS CC | Ark Baptist
Baltimore City CC | CCBC-Dundalk
Pearl River CC | Baton Rouge CC
Pensacola St | Bishop St
Chattahoochee Val | Cent Georgia Tech
Gadsden St CC | Cleveland St CC
Colorado NW | W Wyoming CC
Connors St | N OK-Enid
S Georgia St | Denmark Tech
Polk CC | E Florida St
Eastern OK St | NE OK A&M
FL Southwestern | Miami-Dade
Gulf Coast CC | Lurleen Wallace
Harcum Col | Lackawanna
Kankakee CC | Truman Col
Hill Col | North Lake
SW Tennessee | Holmes CC
Iowa Western CC | Kansas City KS
Snead St | Itawamba CC
ND St Science | Ridgewater
N OK-Tonkawa | Seminole St
Olive-Harvey | Joliet JC
Spartanburg Meth | Roane St
Sauk Valley CC | Waubonsee CC
SW Chr TX | Southern-Shreve
Henry Ford CC | Ancilla
Southwestern CC | Cent CC-Columbus
Wilbur Wright | Lake Co
Cuyahoga CC | Jamestown CC
Essex CC | DE Tech CC
Highland CC KS | Southeast CC
Elgin CC | Kishwaukee CC
McHenry Co | Col of Dupage
Mercer Co | Burlington Co
Morton | Harper
S Suburban | Oakton CC
Sullivan Co | Columbia Greene
Camden Co | Atlantic Cape CC
Brookdale CC | Bergen CC
Bristol CC | Gateway CC
Suffolk Co-Selden | Bronx CC
Bunker Hill CC | Quinsigamond
CC of RI | Massasoit CC
Gloucester Co | Cumberland Co
Dutchess CC | Monroe-Bronx
Fulton-Mont | Schenectady Co
Harrisburg Area CC | Lehigh Carbon
Hibbing CC | Mesabi Range
Jefferson CC | Tompkins Cortland
Northampton CC | Luzerne Co CC
N Essex CC | Mass Bay CC
Middlesex Co | Union Co
MN St CTC | Northland CTC
Montgomery Co CC | Val Forge Mil
Central Bap | Freed-Hardeman
IN Wesleyan | Mt Vernon Naz
Lyon | Williams Bap
Emerson | Suffolk
West Chester | Holy Family
Contra Costa | Diablo Val
Bridgewater VA | Wilson
Benedictine KS | Cent Methodist
IU Kokomo | Cincinnati Chr
Columbia MO | Harris-Stowe
LSU Shreveport | Dillard
Georgetown KY | Kentucky Chr
Hannibal-Lagr | St Louis Pharm
Taylor IN | Marian IN
Mid Am Nazarene | Missouri Val
St Mary KS | Sterling
Co Col Morris | Bucks Co CC
Raritan Val | Manor
Bor Manhattan | Hostos CC
NW Mississippi | SAU Tech
Lakeland | Edgewood
Wayne St NE | NE Kearney
Cornell IA | Maranatha Bap
Concordia IL | Marian WI
MT St-Billings | AK Fairbanks
Neumann | Cairn
Centre | Franklin IN
SUNY Potsdam | Clarkson
Cortland St | Ithaca
Emmanuel MA | Westfield St
Covenant | Maryville TN
John Jay | NY Maritime
WI Oshkosh | North Park
WI Whitewater | Beloit
Fayetteville St | Morris SC
Birmingham So | Pensacola Chr
UT Tyler | Dallas Chr
Minot St | Valley City St
Midway | Berea
Oklahoma Chr | Barclay
Lawrence | Silver Lake
Winona St | Viterbo
Fort Hays St | Central Chr
SUNY-Delhi | Bard
Campbellsville | East-West
